// カラー未対応絵文字辞書草案
// ■ユニコード登録されているカラー未対応の絵文字辞書草案です。
// ※ユニコード13.0対応のテキスト絵文字表示には、
// にしき的フォントや和田研究細丸ゴシックなどの対応フォントやFirefoxなどの対応ブラウザが必要です。

0🯰
0	𝋠
1	⚀
1	𝍲
1	𝍷
1🯱
2	⚁
2	 𝍳
2🯲
3	⚂
3	 𝍴
3🯳
4	⚃
4	 𝍵
4🯴
5	⚄
5	 𝍶
5	𝍸
5🯵
6	⚅
6	🯶
7	🯷
8	🯸
9	🯹
あーす	⏚
あいさつ	🯇
あいさつ	🯈
あいしー	🆋
あいすばーん	⛐
あき	 🀨
あくりるじゅし	♹
あし	⬓
あし	⿱
あし	⿳
あしなが	🮲
あしなが	🮳
あすたりすく	✱
あすてりすく	✱
あてさき	🖆
あでぃしゃくてぃ	☬
あふらまずだ	𐏊
あぽすとろふ	 ❜
あぽすとろふぃ	 ❜
あぽすとろふぃー	 ❜
あめ	⛆
あらーむ	🕭
あれんじ	🎘
あろー	➳
あろー	➴
あろー	➵
あろー	➶
あんく	☥
あんぜんばさみ	✀
あんちもん	♁
あんど	🙲
あんど	🙳
あんど	🙴
あんど	🙵
あんどぅ⎌
あんない	🛈
あんぱさんど	🙲
あんぱさんど	🙳
あんぱさんど	🙴
あんぱさんど	🙵
いいね	🖒
いいん	⛨
いえ	⌂
いおう	🜍
いちぶさいせいし	♽
いどう	⎗
いどう	⎘
いなずま	🗲
いほうこぴーきんし	🕲
いめーじ	🖻
いらん	☫
いろけ	🗢
いんく	🌢
いんさつ	🖶
いんたーちぇんじ	🆋
いんたーねっと	🖧
いんたろばんぐ	🙹
いんたろばんぐ	🙺
いんたろばんぐ	🙻
いんでっくす	☜
いんふぉ	🛈
いんふぉめーしょん	🛈
いんようふ	❛
いんようふ	 ❜
いんようふ	❝
いんようふ	❞
いんようふ	❟
いんようふ	❠
いんようふ	🙶
いんようふ	🙷
いんようふ	🙸
うぃんどぅ🗔
うぃんどう🗔
うちゅうせん	🙬
うちゅうせん	🙭
うちゅうせん	🙮
うちゅうせん	🙯
うちゅうひこう	🙬
うちゅうひこう	🙭
うちゅうひこう	🙮
うちゅうひこう	🙯
うちゅうりょこう	🙬
うちゅうりょこう	🙭
うちゅうりょこう	🙮
うちゅうりょこう	🙯
うちわだいこ	࿂
うら	🗆
うら	🗌
うらぴーす	🖔
うんそう	⛟
えいえん	֍
えいえん	֎
えいが	🈙
えいきゅう	֍
えいきゅう	֎
えきたい	🌢
えこ	♲
えこ	♺
えころじー	♲
えころじー	♺
えだ	⸙
えちおぴあ	⛦
えっくす	🗴
えっくす	🗶
えと	🙰
えと	🙱
えはがき	🖃
えもじ	☻
えもじにゅうりょく	☻
えもじぼたん	☻
えるされむじゅうじ	☩
えれき	🗲
えんか	🖭
えんそうしゃ	🈦
えんたー	⏎
えんたー	🮴
えんたーきー	⏎
えんたーきー	🮴
えんび	♵
えんぴつ	✐
えんぴつ	✎
えんぴつ	🖉
おいろけ	🗢
おうかん	♔
おうかん	♚
おうごんひ	⛤
おうさま	♔
おうさま	♚
おーえす	⌘
おーけー	🖏
おーでぃお	📾
おーばーらっぷ	🗗
おうぼ	🖅
おおあめ	⛆
おおやけ	⛣
おおゆき	⛇
おかね	🖏
おしゃべり	🗫
おっけー	🖏
おとこ	🯅
おとこのこ	🛉
おもて	🗉
おもて	🗏
おやゆび	🖒
おやゆび	🖓
おりんぴっく	🤻
おん	⏽
おんおふ	⏻
おんおふ	⏼
おんがく	🎜
おんがく	🎝
おんせい	🕫
おんせい	🕬
おんせいたじゅう	🈕
おんな	🯉
おんなのこ	🛊
おんぱ	🕬
